stopID,trip,count,blanks
1892,350801,1,
1892,350404,1,
1892,350903,1,
2371,350903,1,
2371,350412,1,
2440,350801,1,
2515,350907,1,
2515,350608,1,
2515,350709,2,
2559,350404,1,
2559,350903,1,
2559,350604,1,
2559,350907,2,
2559,350709,1,
2624,350801,1,
2624,350903,1,
2624,350408,1,
2624,350709,1,
2633,350709,1,
2667,350404,4,
2667,350604,1,
2667,350705,1,
2667,350907,2,
2667,350709,4,
2702,350102,9,
2702,350903,7,
2702,350408,3,
2702,350608,14,
2702, ,10,
2702,350412,2,
1472,350907,1,
1529,350705,1,
1529,350907,3,
1531,350408,7,
1531,350907,3,
1531,350608,8,
1531,350709,1,
1535,350404,2,
1544,350404,1,
1544,350903,1,
1544,350907,1,
1544,350412,3,
1555,350412,4,
1565,350102,1,
1570,350412,1,
1649,350404,1,
1652,350903,1,
1652,350907,1,
1652,350608,1,
1664,350102,3,
1664,350801,3,
1664,350903,1,
1664,350408,1,
1664,350907,1,
1666,350102,1,
1666,350404,2,
1666,350408,1,
1666,350608,1,
1713,350608,1,
1741,350907,2,
1743,350801,1,
1892,350801,1,
1892,350404,1,
1892,350608,1,
1892,350412,2,
2371,350705,2,
2371,350408,2,
2371,350907,2,
2371,350608,1,
2371,350412,1,
2440,350801,1,
2515,350408,1,
2519,350408,2,
2559,350705,1,
2559,350608,1,
2624,350903,1,
2624,350907,1,
2624,350608,2,
2633,350404,3,
2667,350903,5,
2667,350604,5,
2667,350907,3,
2667,350608,1,
2667,350412,1,
2702,350102,2,
2702,350404,4,
2702,350705,4,
2702,350408,3,
2702,350608,5,
2702,350412,6,
1531,350903,1,
1531,350705,5,
1531,350209,2,
1531,350408,3,
1531,350907,3,
1531,350608,1,
1531,350709,1,
1531,350213,2,
1535,350404,1,
1535,350608,2,
1544,350404,2,
1544,350903,2,
1544,350209,1,
1544,350215,1,
1553,350705,1,
1553,350608,2,
1560,350907,1,
1565,350102,1,
1570,350404,1,
1652,350408,1,
1652,350907,1,
1652,350608,1,
1652,350213,1,
1664,350102,4,
1664,350801,1,
1664,350205,1,
1664,350404,3,
1664,350903,2,
1664,350209,2,
1664,350907,1,
1664,350608,1,
1664,350709,3,
1664,350412,1,
1664,350215,2,
1666,350801,1,
1666,350705,2,
1666,350408,4,
1666,350412,1,
1678,350801,1,
1713,350404,1,
1713,350705,1,
1713,350907,1,
1713,350709,1,
1713,350215,2,
1734,350213,1,
1734,350215,1,
