stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,is_trans_ctr,at_trans_ctr,direction
1559R,1559,Hwy 9 & River,,37.116524,-122.120216,http://scmtd.com/stop/1559,0,0,1
1560R,1560,Hwy 9 & Mountain,,37.120399,-122.120834,http://scmtd.com/stop/1560,0,0,1
1561R,1561,Hwy 9 & Lomond,,37.123093,-122.121696,http://scmtd.com/stop/1561,0,0,2
1564R,1564,Hwy 9 & Monaco Ln,,37.133812,-122.125984,http://scmtd.com/stop/1564,0,0,1
1565R,1565,Hwy 9 & Cresta Dr,,37.138687,-122.129517,http://scmtd.com/stop/1565,0,0,1
1567R,1567,Hwy 9 & Sequoia Rd,,37.152439,-122.134529,http://scmtd.com/stop/1567,0,0,2
1568R,1568,Hwy 9 & Ramona Dr,,37.185116,-122.141586,http://scmtd.com/stop/1568,0,0,2
1569R,1569,Hwy 9 & Sylvan Ave,,37.195713,-122.145607,http://scmtd.com/stop/1569,0,0,2
1570R,1570,Hwy 17 & Pasatiempo Dr,,36.999294,-122.020912,http://scmtd.com/stop/1570,0,0,1
1571R,1571,Hwy 17 & Pasatiempo Dr,,36.999645,-122.022064,http://scmtd.com/stop/1571,0,0,2
1585R,1585,5th Ave (Harbormaster),,36.963802,-122.000298,http://scmtd.com/stop/1585,0,0,1
1586R,1586,Lake Ave & Lago Ln,,36.966976,-122.001083,http://scmtd.com/stop/1586,0,0,1
1590R,1590,Laurel & Blackburn,,36.968449,-122.031158,http://scmtd.com/stop/1590,0,0,2
1591R,1591,Laurel & Center,,36.968918,-122.02774,http://scmtd.com/stop/1591,0,0,1
1615R,1615,McLaughlin Dr (UCSC - Science Hill),,36.999973,-122.062332,http://scmtd.com/stop/1615,0,0,1
1616R,1616,McLaughlin Dr (UCSC - College 9 & 10 / Health Ctr),,36.999924,-122.058319,http://scmtd.com/stop/1616,0,0,1
1617R,1617,McLaughlin Dr (UCSC - Crown & Merrill College),,36.999008,-122.055176,http://scmtd.com/stop/1617,0,0,1
1619R,1619,Mission & Miramar Dr (Almar Shopping Ctr),,36.962132,-122.044601,http://scmtd.com/stop/1619,0,0,2
1620R,1620,Mission & Miramar Dr (Almar Shopping Ctr),,36.962399,-122.044502,http://scmtd.com/stop/1620,0,0,1
1623R,1623,Mission & Palm (Palm Center),,36.965111,-122.041534,http://scmtd.com/stop/1623,0,0,2
1624R,1624,Mission & Olive,,36.965073,-122.041832,http://scmtd.com/stop/1624,0,0,1
1625R,1625,Mission & Trescony,,36.967289,-122.039131,http://scmtd.com/stop/1625,0,0,2
1629R,1629,Mission & Laurel,,36.96917,-122.037437,http://scmtd.com/stop/1629,0,0,2
1630R,1630,Mission & Laurel,,36.969028,-122.037788,http://scmtd.com/stop/1630,0,0,1
1631R,1631,Mission & Rigg,,36.970787,-122.036392,http://scmtd.com/stop/1631,0,0,2
1633R,1633,Mission & Otis,,36.970921,-122.036552,http://scmtd.com/stop/1633,0,0,1
1638R,1638,Mission & Sylvar,,36.977268,-122.030281,http://scmtd.com/stop/1638,0,0,2
1647R,1647,Mt Hermon Rd & Covenant Ln,,37.055664,-122.061325,http://scmtd.com/stop/1647,0,0,1
1648R,1648,Mt Hermon Rd & Conference Dr,,37.053524,-122.039589,http://scmtd.com/stop/1648,0,0,2
1649R,1649,Mt Hermon Rd & Conference Dr,,37.054188,-122.039986,http://scmtd.com/stop/1649,0,0,1
1650R,1650,Mt Hermon Rd & Quarry Rd,,37.04977,-122.036583,http://scmtd.com/stop/1650,0,0,2
1651R,1651,Mt Hermon Rd & Lockhart Gulch Rd,,37.050823,-122.037148,http://scmtd.com/stop/1651,0,0,1
1652R,1652,Mt Hermon Rd & Kings Village Rd,,37.04565,-122.027496,http://scmtd.com/stop/1652,0,0,3
1653R,1653,Mt Hermon Rd (Graham Plaza),,37.044693,-122.026665,http://scmtd.com/stop/1653,0,0,3
1654R,1654,Mt Hermon Rd & Whispering Pines Dr,,37.042404,-122.024902,http://scmtd.com/stop/1654,0,0,2
1658R,1658,Murray & Seabright Ave,,36.967262,-122.007477,http://scmtd.com/stop/1658,0,0,1
1664R,1664,Ocean & Water,,36.979939,-122.02124,http://scmtd.com/stop/1664,0,0,1
1665R,1665,Ocean & Blaine,,36.980957,-122.02198,http://scmtd.com/stop/1665,0,0,2
1666R,1666,Ocean & Hubbard,,36.98243,-122.022217,http://scmtd.com/stop/1666,0,0,1
1667R,1667,Ocean & Franklin,,36.983929,-122.023132,http://scmtd.com/stop/1667,0,0,2
1671R,1671,Pine Flat Rd & Empire Grade,,37.078445,-122.133873,http://scmtd.com/stop/1671,0,0,2
1672R,1672,Pine Flat Rd & Empire Grade,,37.078674,-122.133743,http://scmtd.com/stop/1672,0,0,1
1677R,1677,Plymouth & Ocean,,36.985016,-122.023018,http://scmtd.com/stop/1677,0,0,1
1678R,1678,Pool Dr & Hwy 9 (Mountain Store),,37.15493,-122.133217,http://scmtd.com/stop/1678,0,0,2
1681R,1681,Portola Dr & 18th Ave,,36.962605,-121.987198,http://scmtd.com/stop/1681,0,0,1
1682R,1682,Portola Dr & Clearwater Ct,,36.962486,-121.983597,http://scmtd.com/stop/1682,0,0,2
1683R,1683,Portola Dr & 21st Ave,,36.962254,-121.984566,http://scmtd.com/stop/1683,0,0,1
1685R,1685,Portola Dr & 24th Ave (Live Oak Library),,36.962967,-121.980385,http://scmtd.com/stop/1685,0,0,1
1686R,1686,Portola Dr & 26th Ave (Trailer Haven),,36.963348,-121.974937,http://scmtd.com/stop/1686,0,0,1
1687R,1687,Portola Dr & 30th Ave,,36.963566,-121.973892,http://scmtd.com/stop/1687,0,0,2
1688R,1688,Portola Dr & 30th Ave,,36.963345,-121.972389,http://scmtd.com/stop/1688,0,0,1
1690R,1690,Portola Dr & 35th Ave,,36.963554,-121.971924,http://scmtd.com/stop/1690,0,0,2
